年份	煤炭	        焦炭	原油	汽油	煤油	柴油	燃料油	天然气（亿立方米）	co2排放量（t）
1994	40309.74	115.83	72.07	28.95	2.16	269.96	822.47	2.84	                83305.40545
1995	44600.3	        16.79	66.47	39.32	1.61	237.99	972.98	1.72	                91759.6136
1996	50457.41	104.66	85.24	27.28	1.38	302.92	885.94	2.1	                103223.4111
1997	51589.21	103.39	58.65	29.29	0.87	720.49	857.38	4.63	                107138.2572
1998	51810.69	51.21	75.58	26.24	0.37	232.06	994.63	6.51	                105953.54
1999	53189.32	67.11	74.87	29.93	0.4	255.61	907.11	7.6	                108416.0397
2000	56059.33	36.78	76.58	28.74	0.46	262.33	836.66	8.17	                113573.9848
2001	58457.19	39.71	76.27	28.41	0.49	272.46	841.71	9.24	                118297.7354
2002	66277.87	32.06	69.27	28.25	0.54	264.6	901.96	8.88	                133494.4001
2003	79273.45	41.51	64.92	29.67	0.53	312.08	1048.56	11.52	                159461.5834
2004	95665.95	56.13	9.26	32.7	0.26	389.29	1475.9	17.81	                193303.112
2005	106767.83	64.55	9.04	26.69	0.36	412.23	1156.88	26.6	                213633.4253
2006	121693.57	36.11	11.65	26.01	0.29	358.18	979.21	39.64                	241690.7219
2007	133424.27	39.16	8.67	27.3	0.31	279.04	609.29	80.13                	263769.3126
2008	137896.33	36.35	10.23	27.6	0.25	302.46	385.44	84.01	                271603.4984
2009	146154.67	32.24	4.3	34.45	0.12	253.34	217.98	133.82                	288412.3201
2010	152571.52	22.71	3.64	32.22	0.04	162.11	119.84	192.35                	302112.0171
2011	171791.38	23.69	2.11	31.74	0.03	88.99	43.65	224.95                	339624.8298
2012	175411.61	8.02	2.46	33.9	0.03	78.23	22.7	234.52	                346771.371
2013	190839.94	11.05	2.25	33.77	0.06	77.27	26.26	257.24                	377316.431
